AOD,AQI,CO,Latitude,Longitude,PM25,humidity,name,temperature
330.0,3.4214108,0.0167100211994677,33.008594353203314,90.3726655696641,2.0528464,55.76316438956322,Point_1,-3.0304103798335973
388.0,36.87404,0.0417664072340259,25.37702923298859,76.86352791093533,22.124424,18.46299092617708,Point_2,33.621133131451074
564.0,31.686169,0.039913340711316,14.359187780216736,78.55029661035859,19.011702,42.87816198761939,Point_5,32.52053702142507
841.0,69.350266,0.0483215961507741,26.668810064190097,81.00084145995861,41.610157,29.62989485387609,Point_6,32.71829770935909
468.0,32.648266,0.0375289944143037,14.45892329389699,76.94954577541782,19.588959,48.59511618960643,Point_9,30.525562249289635
585.0,44.686657,0.0396966571938094,20.20146392197621,75.97756559499757,26.811995,27.58338945653441,Point_10,32.86247292094765
326.0,19.503222,0.0265727035034451,31.381344857653676,68.47111815816625,11.701933,29.049813868415075,Point_11,19.43025585280526
651.0,47.02594,0.0431769140580216,19.433118843728263,77.26091455213106,28.215563,30.056395725823915,Point_13,33.41580408414205
626.0,37.689823,0.0446280562111231,23.409007151371764,94.18192422020648,22.613894,55.63220202582672,Point_14,28.85256488058303
314.0,7.4420156,0.0172812877274105,34.77920935897629,95.33774280494993,4.4652095,65.70649953402707,Point_15,-3.907448275883951
485.0,62.534077,0.046928183745627,31.544378193345093,75.68781514207649,37.520447,26.518970563885947,Point_17,31.062122307883385
1200.0,63.57991,0.0490494877252309,24.569060719422364,90.27308397594172,38.147945,69.28212963548015,Point_18,29.026610019471946
1222.0,72.28232,0.0540245927401098,25.994409841915783,89.7551655818902,43.36939,67.13706216979237,Point_19,28.33100590705874
639.0,44.598545,0.0392083500743253,28.472316256008217,70.33048835555228,26.759127,20.437518261521685,Point_21,34.14273279507955
260.0,24.871109,0.0322637038920229,33.43612952725469,74.20523638008822,14.922666,35.460182271094155,Point_22,22.94941411018374
762.0,44.79316,0.0533101036975092,25.83418211311284,92.8067055748696,26.875896,79.49446365536089,Point_23,25.976656134923303
415.0,94.84061,0.0469365162298799,30.49201309194222,75.82482459075459,56.904366,24.83194024708078,Point_24,31.96247563362124
365.0,25.326517,0.0372202482386681,23.705082392529967,68.23893881053728,15.19591,68.32650018041684,Point_25,29.95146896044417
478.0,35.34653,0.0386872947708987,22.61351786129212,75.37078633191756,21.207918,22.76134652639676,Point_29,32.82803552945455
360.0,19.529886,0.037860408072866,18.354736330938444,94.52581964069594,11.717932,70.73051270378171,Point_30,28.796070061789635
555.0,35.97592,0.0457108130929027,25.952357268129067,95.6306453515614,21.585552,67.4791802996276,Point_31,24.69532136387295
512.0,42.750862,0.0412582801567223,21.264945025027245,76.04763408008178,25.650518,27.68990832104685,Point_32,33.884815178977135
457.0,33.5558,0.0395803695143779,23.2926385400208,75.1611639635835,20.13348,22.907746295374256,Point_34,32.8975681357914
530.0,28.424038,0.0427898199290425,20.17374651947251,95.07470860616002,17.054422,44.64478172499884,Point_35,32.6547465483348
283.0,39.825695,0.038185245722236,26.52623433788528,73.37834658658126,23.895416,15.36828311593906,Point_36,34.50567157003616
815.0,19.53188,0.0346813738263871,10.543958588321336,76.73032446578202,11.719128,82.47506294414848,Point_38,25.099296108881678
570.0,16.66778,0.0336416473093992,9.59170024606669,80.4076736769641,10.000668,75.16620327320996,Point_40,29.69141850471499
568.0,55.99575,0.041797666339103,29.20968604942897,71.10976783941852,33.59745,19.277384014190297,Point_41,34.236258999506674
199.0,3.5232317,0.0175632283750062,32.87476782953657,88.11640221769031,2.113939,46.61298439271046,Point_43,-0.4740817122989256
327.0,20.025965,0.0272675313321166,31.80329148554848,69.22013207740447,12.015579,30.227567339326413,Point_44,21.792404561572653
735.0,30.403313,0.036904683370822,12.407066676090867,79.27753589269749,18.241987,66.16995565435023,Point_46,30.19380565749276
549.0,38.936604,0.0369539568081067,16.335919292356188,73.98072785852774,23.361961,66.18727666812279,Point_47,27.211773729324364
434.0,361.4284,0.0262463780486057,36.938518223716926,83.58694153980184,199.85693,16.676597619888913,Point_50,17.190536885791403
351.0,5.0428257,0.0168626813572999,35.20571789082865,89.19916834321458,3.0256953,62.82755930715711,Point_51,-4.872261508305826
524.0,33.257706,0.042604306895107,18.46263630634625,83.76523260166896,19.954624,69.54834939116824,Point_52,30.98837149408132
1312.0,70.48399,0.0532200703306107,25.566417026440035,88.63975818527513,42.290394,55.58242138663574,Point_53,29.44776616096499
156.0,2.7265673,0.019866020031036,28.517485668216377,89.9691452352555,1.6359403,64.32560348121864,Point_54,-0.9496506955888436
315.0,5.5278172,0.0160223252014902,34.37169068985774,85.25766586519305,3.3166904,51.331619276909066,Point_55,-3.651948330137429
395.0,3.098357,0.0205267307191679,36.347264133849976,70.65883147233872,1.8590142,73.61031240651724,Point_58,0.4114197254181135
301.0,20.091469,0.0255916752193252,32.84709811596672,68.32131182953104,12.054881,38.19418086660921,Point_59,16.4948344389598
372.0,23.944061,0.0360519500574269,24.00113539530504,69.29380218210261,14.366437,40.96356761822504,Point_60,32.8626085546282
63.0,4.388088,0.0217794607662497,29.39463135762256,86.6884454837893,2.6328528,38.58968245057245,Point_61,3.937430874506674
363.0,29.124718,0.0398130610263326,20.963078728800237,71.58152856701174,17.47483,47.87170197190095,Point_62,32.085003709793114
1038.0,37.743702,0.0481858034347835,22.538453487821705,88.10270535935258,22.646221,69.34083928533722,Point_63,30.59474559889901
243.0,8.113753,0.0313384360702265,29.414176192897,95.4375363862808,4.868252,75.20785435555777,Point_65,13.762497335010153
578.0,40.495068,0.0360982883096568,29.384423825941766,81.17073207980461,24.29704,48.89876966351414,Point_67,16.302739848030967
285.0,12.485334,0.0207238636299091,32.40921654962803,77.28927671398307,7.4912004,70.95328401860094,Point_68,-7.077173482047158
30.0,4.755636,0.0169108355078869,31.71588456905829,79.9684040234821,2.8533819,30.841770521022436,Point_69,-2.178156148062783
647.0,35.729633,0.0465634037006766,20.35520548024862,84.87918798419531,21.43778,55.43049584167012,Point_71,32.09634607632955
218.0,2.669169,0.0178000019714276,31.68355331285602,93.26017958210664,1.6015013,77.24330465992655,Point_75,-5.348925733566261
1124.0,72.53,0.0531778498548419,26.66193976567205,85.19472699170447,43.518,45.35937566484032,Point_77,30.26277199321328
367.0,120.28715,0.0367314301078857,26.881694533415143,70.91500393495804,66.08614,15.171498052029,Point_78,35.63539162211953
478.0,37.16321,0.0390576942769509,22.47544888696026,75.64515099525588,22.297928,22.37562246151666,Point_79,32.907754225201074
272.0,26.966347,0.034871236060547,33.60720679956679,71.57838453199106,16.179808,31.467615598155835,Point_80,27.16921866205007
