AOD,AQI,CO,Latitude,Longitude,PM25,humidity,name,temperature,Place
285.0,25.006842,0.0263113233451171,34.14103764107664,74.59900114828336,15.004105,53.79190112070551,Point_0,14.891578398810507,Baramulla
694.0,15.145497,0.0183030753180322,27.91319702694907,88.30270629783988,9.087298,69.16325939109456,Point_2,-4.829206106397805,Mangan
638.0,27.925234,0.0367024721846797,9.048912894169751,77.75560625316825,16.75514,45.16440998054182,Point_6,33.64944515228274,Chettikurichi
626.0,39.235317,0.0486339288920309,23.15271140095518,94.09487168285412,23.541191,53.515039328740365,Point_7,29.805139054192463,Hnaw Nyaung Pin
285.0,20.48222,0.0262864399701334,34.32037588456741,74.42867153494387,12.289332,51.44457618411534,Point_11,14.150692982143823,Bomai
315.0,21.85473,0.0417300122137542,28.10999998134254,93.65647761951593,13.112839,83.63233462609423,Point_14,16.928769154018823,Kra Daadi
1232.0,80.77721,0.0273873584989588,36.86279842418759,81.18377053649252,48.466324,11.406155694415698,Point_17,21.18980973561605,Xinjiang
1079.0,38.739857,0.0488690311710119,23.620591048589013,90.39307135508446,23.243914,69.89581726691682,Point_18,30.39170046912301,Latabdi
525.0,33.128025,0.0417333733391906,24.707911160713024,80.52199480284855,19.876816,13.684800151295171,Point_19,31.902090009053552,Kandahli
555.0,50.483116,0.0486303282595385,25.679388444759105,95.6972912675844,30.28987,53.46739671710144,Point_21,26.242747561136923,Sagaing Region
277.0,33.142136,0.0346462942659825,24.11891933186284,72.33258662311478,19.885283,21.876034039134627,Point_22,31.32951242658828,Banaskantha
1124.0,62.278683,0.0480825793065937,26.81783850802,85.18091483454745,37.36721,19.556200605531384,Point_25,31.246653811136923,East Champaran
168.0,3.0717022,0.015425110546256,33.462199152435055,83.9378113236376,1.8430214,33.270703118877464,Point_28,-1.7555570178561766,Chabu
359.0,31.704546,0.0355262481607395,24.88407957524711,71.25458381058604,19.022728,16.430142582386452,Point_32,33.04479020436605,Khan
617.0,40.71825,0.0441146874458984,22.988592219224863,84.74612452093294,24.43095,17.01950508409072,Point_33,30.64270415835915,Gumla
283.0,36.39829,0.0372734319253778,26.12878674037855,73.0140342299631,21.838974,15.36267643711039,Point_35,31.89123931460915,Mogra kalan
377.0,29.127083,0.0351484485463316,23.02304939123339,71.63433365836411,17.47625,22.34457610544872,Point_36,33.15641672346328,Surendranagar
524.0,38.536266,0.0466748997327423,18.33404365094017,83.28743243909398,23.12176,58.54742338657806,Point_37,32.88467464447024,Salipeta
217.0,2.8916044,0.0239648407759274,28.968423849426586,92.2951135576893,1.7349626,55.26097479340224,Point_38,-0.623178545633948,Shakjang
611.0,43.882637,0.041421272445611,24.9263396630402,83.11029394818598,26.329582,16.297505075874472,Point_39,31.737118763393823,Chandauli
302.0,31.760489,0.0345835418739712,21.89371188305406,70.1572939774148,19.056293,40.46869049323696,Point_40,30.626780764261923,Rajkot
544.0,29.10986,0.0351695588809994,23.25281062108327,93.76572458361083,17.465916,58.552091913520144,Point_41,21.81760378943551,Lophei
554.0,6.19487,0.0271738824374655,36.019920180466585,69.25958862028436,3.716922,57.46115370500965,Point_42,9.370243220859152,Khwaja Jiran
180.0,7.137204,0.0194292794251788,32.80517413617485,96.47039786307242,4.2823224,70.08740777002119,Point_43,-4.116708819071448,Ratö
667.0,32.513706,0.0366422536714892,17.958354186113112,76.1048213332686,19.508224,13.177143912028678,Point_44,34.53714046478274,Bhatambra
315.0,1.9294274,0.0157260520499748,34.668468238246504,89.60842244580257,1.1576564,63.81429157546656,Point_47,-9.429059622022804,Sewu
311.0,63.99936,0.0378123937270269,27.13028330282004,71.10899243919687,38.399616,16.230684048304965,Point_48,32.563494088914695,Kanod Rawlotan
576.0,36.06882,0.041123269884128,19.202476005504707,78.32654448555118,21.641293,17.13708964940797,Point_51,33.85659847259524,Nirmal
201.0,2.8977587,0.0134563085752486,30.915195592866127,90.25921530286828,1.7386552,53.24465324449788,Point_53,-1.100609101189491,Baingoin County
469.0,45.177555,0.0363838080553895,31.63182040306268,74.67635893634268,27.106533,27.410118560879315,Point_54,28.510705460442463,Nurpur
285.0,18.007412,0.0199731690424996,32.24430878647386,77.106271949447,10.804447,57.71358595931324,Point_56,1.0802312850952376,Kullu
668.0,34.613716,0.0351129433537005,16.39167990311723,75.04145057939162,20.768229,29.38886571687087,Point_57,31.63916411929665,Bagalkote
116.0,3.39033,0.0174688209841818,30.527977154826463,91.05065371587278,2.034198,59.541174431027066,Point_58,-4.166608450147805,Lhasa
444.0,30.144472,0.0396612712143341,24.49811656088161,79.7055092436051,18.086683,14.904635041298231,Point_59,31.39171403249105,Kishangarn
437.0,33.908195,0.0349468856174988,25.68623916704509,71.00293949586171,20.344917,16.415005559605397,Point_60,31.944611167907738,Tamliyar
173.0,3.5933928,0.0174988228827695,29.407654972903703,90.05256103286376,2.1560357,38.522786116446206,Point_61,3.5787800047132805,Lhasa
125.0,4.0155354,0.0175229847697395,31.247621024146035,81.92015902670168,2.4093213,44.19688203038721,Point_63,-6.463836097717262,Gegyai County
308.0,1.8690562,0.0171346023335501,34.537062696776246,88.19402412077959,1.1214337,54.256082022603735,Point_64,-6.380136553446448,Tsodrel Jangma
325.0,16.208027,0.0188629356959547,29.337373965149865,82.98329368381364,9.724816,65.06174634221696,Point_67,-6.294822968376991,Karnali Province
1312.0,54.31529,0.0484804127313486,25.14390942620244,88.26106341620454,32.589172,35.43029008074782,Point_68,29.883928659227195,Maldah
883.0,104.78874,0.026667183891729,36.82293005164517,80.7131092462455,61.436623,13.826198287636084,Point_70,18.82011301252578,Xinjiang
